fecha,ID,mes,muestreador,toponimia,localidad,sitio,transecto,distancia_localidad_km,distance,day,num_mes,month,orientation,density,X,Y
2014-08-13,Gorguel Norte 6,Agosto,Kilian,Gorguel Norte,Gorguel,1,6,0.7,0.7,13,2,August,E,0,-0.8699712242607747,37.575608293129164
2014-08-13,Gorguel Sur 1,Agosto,Pablo A,Gorguel Sur,Gorguel,2,1,0.7,0.7,13,2,August,E,8.6,-0.8775913533706488,37.57667554113447
2014-08-13,Gorguel Sur 2,Agosto,Pablo A,Gorguel Sur,Gorguel,2,2,0.7,0.7,13,2,August,E,0,-0.8784095676731632,37.57587260032297
2014-08-13,Gorguel Sur 3,Agosto,Pablo A,Gorguel Sur,Gorguel,2,3,0.7,0.7,13,2,August,E,0,-0.8781568386722952,37.574913196688804
2014-08-13,Gorguel Sur 4,Agosto,Pablo A,Gorguel Sur,Gorguel,2,4,0.7,0.7,13,2,August,E,0.6,-0.8788438519251202,37.57433139190499
2014-08-13,Gorguel Sur 5,Agosto,Pablo A,Gorguel Sur,Gorguel,2,5,0.7,0.7,13,2,August,E,0.4,-0.8789067569951309,37.57346321707799
2014-08-13,Gorguel Sur 6,Agosto,Pablo A,Gorguel Sur,Gorguel,2,6,0.7,0.7,13,2,August,E,0,-0.8784559812420466,37.572468165164054
2014-08-13,Portman Norte 1,Agosto,Kilian,Portman Norte,Portman,1,1,4.4,4.4,13,2,August,E,0.2,-0.8470689541460799,37.58148147782686
2014-08-13,Portman Norte 2,Agosto,Kilian,Portman Norte,Portman,1,2,4.4,4.4,13,2,August,E,0.2,-0.8457111150864232,37.58110749883235
2014-08-13,Portman Norte 3,Agosto,Kilian,Portman Norte,Portman,1,3,4.4,4.4,13,2,August,E,2.6,-0.8443271949137889,37.580600479365216
2014-08-13,Portman Norte 4,Agosto,Kilian,Portman Norte,Portman,1,4,4.4,4.4,13,2,August,E,0,-0.8438824696087305,37.579837254475976
2014-08-13,Portman Norte 5,Agosto,Kilian,Portman Norte,Portman,1,5,4.4,4.4,13,2,August,E,0,-0.8442130355568538,37.57894645959785
2014-08-13,Portman Norte 6,Agosto,Kilian,Portman Norte,Portman,1,6,4.4,4.4,13,2,August,E,0,-0.84315700833679,37.578910832885136
2014-08-13,Portman Sur 1,Agosto,Pablo A,Portman Sur,Portman,2,1,4.4,4.4,13,2,August,E,3.2,-0.8512211588392007,37.582080428501904
2014-08-13,Portman Sur 2,Agosto,Pablo A,Portman Sur,Portman,2,2,4.4,4.4,13,2,August,E,0.8,-0.8526641525654294,37.58198533983195
2014-08-13,Portman Sur 3,Agosto,Pablo A,Portman Sur,Portman,2,3,4.4,4.4,13,2,August,E,0.2,-0.8532774510895325,37.58107706345728
2014-08-13,Portman Sur 4,Agosto,Pablo A,Portman Sur,Portman,2,4,4.4,4.4,13,2,August,E,0,-0.8541334600186418,37.58023258981674
2014-08-13,Portman Sur 5,Agosto,Pablo A,Portman Sur,Portman,2,5,4.4,4.4,13,2,August,E,0,-0.8554545893971136,37.57980005082528
2014-08-13,Portman Sur 6,Agosto,Pablo A,Portman Sur,Portman,2,6,4.4,4.4,13,2,August,E,0,-0.8569564966215046,37.57970266697826
2014-08-16,Atamaría Norte 1,Agosto,Vicky,Atamaría Norte,Atamaría,1,1,10.1,10.1,16,2,August,E,4.4,-0.792216541985035,37.58716664163524
2014-08-16,Atamaría Norte 2,Agosto,Vicky,Atamaría Norte,Atamaría,1,2,10.1,10.1,16,2,August,E,0,-0.7910117888913019,37.58659907857346
2014-08-16,Atamaría Norte 3,Agosto,Vicky,Atamaría Norte,Atamaría,1,3,10.1,10.1,16,2,August,E,0,-0.7903395623489461,37.58705057051856
2014-08-16,Atamaría Norte 4,Agosto,Vicky,Atamaría Norte,Atamaría,1,4,10.1,10.1,16,2,August,E,0,-0.7893100566595014,37.58753635750897
2014-08-16,Atamaría Norte 5,Agosto,Vicky,Atamaría Norte,Atamaría,1,5,10.1,10.1,16,2,August,E,0,-0.788526153610931,37.58804854893276
