fecha,mes,muestreador,toponimia,localidad,sitio,transecto,distancia_localidad_km,distance,day,num_mes,month,orientation,density,size,number
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,55,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,56,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,60,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,65,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,10,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,11,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,12,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,13,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,14,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,15,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,16,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,17,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,18,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,19,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,20,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,22,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,24,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,25,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,26,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,27,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,28,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,30,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,32,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,33,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,34,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,35,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,36,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,37,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,38,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,40,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,42,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,43,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,44,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,45,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,46,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,48,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,50,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,52,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,54,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,55,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,56,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,60,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,3,0.7,0.7,14,1,July,E,0,65,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,10,960
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,11,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,12,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,13,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,14,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,15,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,16,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,17,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,18,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,19,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,20,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,22,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,24,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,25,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,26,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,27,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,28,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,30,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,32,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,33,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,34,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,35,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,36,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,37,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,38,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,40,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,42,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,43,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,44,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,45,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,46,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,48,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,50,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,52,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,54,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,55,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,56,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,60,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,4,0.7,0.7,14,1,July,E,192,65,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,10,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,11,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,12,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,13,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,14,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,15,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,16,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,17,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,18,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,19,0
